TIME,RETRIEVER_TYPE,COUNT_QUERY_RUN,TOPK_RETRIEVER,TOPK_RANKER,RANK1_MEAN,NDCG_MEAN,NDCG_LIMIT,TIME_SPENT_MEAN,CRITERIA,RETRIEVER_MODEL_NAME,RANKER_MODEL_NAME,COUNT_QUERY_WITHOUT_RESULT,COUNT_QUERY_NOT_FOUND
2023-Jun-18 15:08:50,join_sts_multihop_bm25,100,300,0.0,3.75,62.094,12,0.748,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 15:34:36,join_sts_multihop_bm25,100,300,0.0,20.379,54.29,12,15.452,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 16:03:20,join_sts_multihop_bm25,100,300,0.0,15.727,35.042,12,17.236,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 16:22:30,join_sts_multihop_bm25,100,300,0.0,17.529,12.793,12,11.495,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 16:40:17,join_sts_multihop_bm25,100,300,0.0,4.48,37.018,12,10.667,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 16:41:34,join_sts_multihop_bm25,100,300,0.0,3.63,21.767,12,0.771,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 19:11:32,join_sts_bm25,100,600,0.0,3.62,61.063,12,0.043,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 19:12:48,join_sts_bm25,100,600,0.0,3.75,62.094,12,0.751,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 19:13:25,join_sts_bm25,100,600,0.0,55.6,17.263,12,0.36,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 19:54:39,join_sts_bm25,100,600,0.0,32.11,51.166,12,24.737,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 19:55:17,join_sts_bm25,100,600,0.0,128.358,7.911,12,0.375,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 20:47:00,join_sts_bm25,100,600,0.0,44.469,34.084,12,31.025,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 20:47:39,join_sts_bm25,100,600,0.0,115.656,6.115,12,0.382,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 21:45:34,join_sts_bm25,100,600,0.0,33.411,26.334,12,34.743,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 21:46:10,join_sts_bm25,100,600,0.0,59.38,6.829,12,0.352,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 22:45:31,join_sts_bm25,100,600,0.0,10.11,36.373,12,35.6,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 22:45:36,join_sts_bm25,100,600,0.0,3.47,21.538,12,0.042,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 22:46:59,join_sts_bm25,100,600,0.0,3.63,21.767,12,0.831,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-19 12:05:13,join_sts_bm25,16045,600,0.0,3.685,62.774,12,0.789,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-20 12:35:57,bm25,100,300,0.0,5.48,50.063,12,0.008,area,,,0.0,0.0
2023-Jun-20 12:36:11,bm25,100,300,0.0,29.396,40.082,12,0.133,theme,,,0.0,4.0
2023-Jun-20 12:36:25,bm25,100,300,0.0,53.072,23.531,12,0.131,subtheme,,,0.0,31.0
2023-Jun-20 12:36:39,bm25,100,300,0.0,31.907,19.34,12,0.133,extra,,,0.0,14.0
